ID	CA	ES	FR	EN	CAS	ACCIO_1	ACCIO_2	ACCIO_3
1672	kebuzona	kebuzona	kébuzone	kebuzone	853-34-9	analgèsic	antiinflamatori	
1673	kel·lina	kelina	khelline	khellin	82-02-0	vasodilatador		
1674	keracianina	keracianina	kéracyanine	keracyanin	18719-76-1	potenciador de l'agudesa visual		
1675	ketamina	ketamina	kétamine	ketamine	6740-88-1	anestèsic intravenós		
1676	ketanserina	ketanserina	kétansérine	ketanserin	74050-98-9	antagonista de la serotonina	antihipertensor	vasodilatador perifèric
1677	ketazolam	ketazolam	kétazolam	ketazolam	27223-35-4	tranquil·litzant		
1678	ketocaïna	ketocaína	kétocaïne	ketocaine	1092-46-2	anestèsic local		
1679	ketoconazole	ketoconazol	kétoconazole	ketoconazole	65277-42-1	antifúngic		
1680	ketoprofèn	ketoprofeno	kétoprofène	ketoprofen	22071-15-4	analgèsic	antiinflamatori	antipirètic
1681	ketorolac	ketorolaco	kétorolac	ketorolac	74103-06-3	analgèsic		
1682	ketotifèn	ketotifeno	kétotifène	ketotifen	34580-13-7	antiasmàtic	antihistamínic H1	
1683	kitasamicina	kitasamicina	kitasamycine	kitasamycin	1392-21-8	antibiòtic macròlid		
1684	labetalol	labetalol	labétalol	labetalol	36894-69-6	blocador d'adrenoreceptors beta		
1685	lacidipina	lacidipino	lacidipine	lacidipine	103890-78-4	blocador dels canals del calci	vasodilatador coronari	
1686	lacosamida	lacosamida	lacosamide	lacosamide	175481-36-4	antiepilèptic		
1687	lactitol	lactitol	lactitol	lactitol	585-86-4	emprat en el tractament de l'encefalopatia hepàtica	laxant	
1688	lactulosa	lactulosa	lactulose	lactulose	4618-18-2	emprat en el tractament de les malalties metabòliques	laxant	
1689	lafutidina	lafutidina	lafutidine	lafutidine	118288-08-7	antagonista dels receptors H2 de la histamina	antiúlcera pèptica	
1690	lamifiban	lamifibán	lamifiban	lamifiban	144412-49-7	trombolític		
1691	lamivudina	lamivudina	lamivudine	lamivudine	131086-21-0	antiretroviral		
1692	lamotrigina	lamotrigina	lamotrigine	lamotrigine	84057-84-1	antiepilèptic		
1693	lanadelumab	lanadelumab	lanadélumab	lanadelumab	1426055-14-2	immunomodulador		
1694	lanatòsid C	lanatósido C	lanatoside C	lanatoside C	17575-22-3	glucòsid cardiotònic		
1695	landiolol	landiolol	landiolol	landiolol	133242-30-5	antiarrítmic		
1696	lanoconazole	lanoconazol	lanoconazole	lanoconazole	101530-10-3	antifúngic		
1697	lanoteplasa	lanoteplasa	lanotéplase	lanoteplase	171870-23-8	trombolític		
1698	lanreotida	lanreotida	lanréotide	lanreotide	108736-35-2	hormona hipofítica		
1699	lansoprazole	lansoprazol	lansoprazole	lansoprazole	103577-45-3	antiúlcera pèptica	inhibidor de la secreció àcida gàstrica	
1700	lapatinib	lapatinib	lapatinib	lapatinib	388082-78-8	antineoplàstic		
1701	laronidasa	laronidasa	laronidase	laronidase	210589-09-6	enzim		
1702	laropiprant	laropiprant	laropiprant	laropiprant	571170-77-9	hipolipemiant		
1703	lasalòcid	lasalócido	lasalocide	lasalocid	25999-31-9	antiprotozoari		
1704	lasmiditan	lasmiditán	lasmiditan	lasmiditan	439239-90-4	agonista de la serotonina		
1705	lasofoxifè	lasofoxifeno	lasofoxifène	lasofoxifene	180916-16-9	modulador selectiu de receptors d'estrògens		
1706	latamoxef	latamoxef	latamoxef	latamoxef	64952-97-2	antibiòtic cefalosporínic		
1707	latanoprost	latanoprost	latanoprost	latanoprost	130209-82-4	emprat en el tractament del glaucoma		
1708	laurat de sorbitan	laurato de sorbitán	laurate de sorbitan	sorbitan laurate	1338-39-2	coadjuvant farmacèutic		
1709	laurilsulfat de sodi	laurilsulfato de sodio	laurilsulfate de sodium	sodium lauryl sulphate		detergent	humectant	
1710	laurocapram	laurocapram	laurocapram	laurocapram	59227-89-3	coadjuvant farmacèutic		
1711	lauromacrogol	lauromacrogol	lauromacrogol	lauromacrogol	9002-92-0	coadjuvant farmacèutic		
1712	lazabemida	lazabemida	lazabémide	lazabemide	103878-84-8	inhibidor de la monoaminooxidasa		
1713	lebrikizumab	lebrikizumab	lébrikizumab	lebrikizumab	953400-68-5	immunomodulador		
1714	lefamulina	lefamulina	léfamuline	lefamulin	1061337-51-6	antimicrobià		
1715	lefetamina	lefetamina	léfétamine	lefetamine	7262-75-1	analgèsic	antipirètic	
1716	leflunomida	leflunomida	léflunomide	leflunomide	75706-12-6	antireumàtic	immunodepressor	
1717	lenalidomida	lenalidomida	lénalidomide	lenalidomide	191732-72-6	antiangiogènic	immunomodulador	
1718	lenograstim	lenograstim	lénograstim	lenograstim	135968-09-1	antineutropènic		
1719	lenvatinib	lenvatinib	lenvatinib	lenvatinib	417716-92-8	antineoplàstic		
1720	lepirudina	lepirudina	lépirudine	lepirudin	138068-37-8	anticoagulant		
1721	lercanidipina	lercanidipino	lercanidipine	lercanidipine	100427-26-7	antihipertensor		
1722	lerdelimumab	lerdelimumab	lerdélimumab	lerdelimumab	285985-06-0	anticòs monoclonal	immunomodulador	
1723	letermovir	letermovir	létermovir	letermovir	917389-32-3	antivíric		
1724	letosteïna	letosteína	létostéine	letosteine	53943-88-7	mucolític		
1725	letrazuril	letrazurilo	létrazuril	letrazuril	103337-74-2	antiprotozoari		
1726	letrozole	letrozol	létrozole	letrozole	112809-51-5	antineoplàstic		
1727	leucina	leucina	leucine	leucine	61-90-5	emprat com a suplement dietètic		
1728	leucocianidol	leucocianidol	leucocianidol	leucocianidol	480-17-1	vasoprotector		
1729	leuprorelina	leuprorelina	leuproréline	leuprorelin	53714-56-0	agonista del factor alliberador de l'hormona luteïnitzant	antineoplàstic	
1730	levacetilmetadol	levacetilmetadol	lévacétylméthadol	levacetylmethadol	34433-66-4	analgèsic		
1731	levamfetamina	levanfetamina	lévamfétamine	levamfetamine	156-34-3	anorèctic		
1732	levamisole	levamisol	lévamisole	levamisole	14769-73-4	antihelmíntic		
1733	levetiracetam	levetiracetam	lévétiracétam	levetiracetam	102767-28-2	antiepilèptic		
1734	levobetaxolol	levobetaxolol	lévobétaxolol	levobetaxolol	93221-48-8	blocador d'adrenoreceptors beta		
1735	levobunolol	levobunolol	lévobunolol	levobunolol	47141-42-4	emprat en el tractament del glaucoma		
1736	levobupivacaïna	levobupivacaína	lévobupivacaïne	levobupivacaine	27262-47-1	anestèsic local		
1737	levocabastina	levocabastina	lévocabastine	levocabastine	79516-68-0	antihistamínic		
1738	levocarnitina	levocarnitina	lévocarnitine	levocarnitine	541-15-1	emprat com a cofactor en el metabolisme dels àcids grassos	emprat en el tractament de les malalties metabòliques	
1739	levocetirizina	levocetirizina	lévocétirizine	levocetirizine	130018-77-8	antial·lèrgic		
1740	levodopa	levodopa	lévodopa	levodopa	59-92-7	antiparkinsonià	dopaminèrgic	
1741	levodropropizina	levodropropizina	lévodropropizine	levodropropizine	99291-25-5	antitussigen		
1742	levofloxacina	levofloxacino	lévofloxacine	levofloxacin	100986-85-4	antibiòtic fluoroquinolònic		
1743	levofolinat de calci	levofolinato de calcio	lévofolinate de calcium	calcium levofolinate	80433-71-2	antídot dels antagonistes de l'àcid fòlic		
1744	levomenol	levomenol	lévoménol	levomenol	23089-26-1	potenciador de la penetració transepidèrmica		
1745	levomepromazina	levomepromazina	lévomépromazine	levomepromazine	60-99-1	neurolèptic		
1746	levometadona	levometadona	lévométhadone	levomethadone	125-58-6	analgèsic opiaci		
1747	levomilnacipran	levomilnaciprán	lévomilnacipran	levomilnacipran	96847-55-1	antidepressiu	inhibidor selectiu de la recaptació de serotonina	
1748	levonorgestrel	levonorgestrel	lévonorgestrel	levonorgestrel	797-63-7	progestagen		
1749	levopropoxifè	levopropoxifeno	lévopropoxyphène	levopropoxyphene	2338-37-6	antitussigen		
1750	levorfanol	levorfanol	lévorphanol	levorphanol	77-07-6	analgèsic opiaci		
1751	levosalbutamol	levosalbutamol	lévosalbutamol	levosalbutamol	34391-04-3	broncodilatador		
1752	levosimendan	levosimendán	lévosimendan	levosimendan	141505-33-1	vasodilatador		
1753	levosulpirida	levosulpirida	lévosulpiride	levosulpiride	23672-07-3	antiemètic		
1754	levotiroxina sòdica	levotiroxina de sodio	lévothyroxine sodique	levothyroxine sodium		hormona tiroidal		
1755	lexipafant	lexipafant	lexipafant	lexipafant	139133-26-9	antagonista del factor activador de les plaquetes		
1756	lidamidina	lidamidina	lidamidine	lidamidine	66871-56-5	anestèsic local	antidiarreic	
1757	lidocaïna	lidocaína	lidocaïne	lidocaine	137-58-6	anestèsic local		
1758	lidoflazina	lidoflazina	lidoflazine	lidoflazine	3416-26-0	vasodilatador coronari		
1759	lifibrol	lifibrol	lifibrol	lifibrol	96609-16-4	hipolipemiant		
1760	limaprost	limaprost	limaprost	limaprost	74397-12-9	prostaglandina		
1761	limeciclina	limeciclina	lymécycline	lymecycline	992-21-2	antibiòtic tetraciclínic		
1762	linaclotida	linaclotida	linaclotide	linaclotide	851199-59-2	agonista de la guanilat-ciclasa C		
1763	linagliptina	linagliptina	linagliptine	linagliptin	668270-12-0	hipoglucemiant oral		
1764	lincomicina	lincomicina	lincomycine	lincomycin	154-21-2	antibiòtic lincosamínic		
1765	lindà	lindano	lindane	lindane	58-89-9	escabicida	pediculicida	
1766	linestrenol	linestrenol	lynestrénol	lynestrenol	52-76-6	progestagen		
1767	linezolid	linezolid	linézolide	linezolid	165800-03-3	antibiòtic oxazolidinònic		
1768	linsidomina	linsidomina	linsidomine	linsidomine	33876-97-0	nitrovasodilatador		
1769	liotironina	liotironina	liothyronine	liothyronine	6893-02-3	hormona tiroidal		
1770	lipressina	lipresina	lypressine	lypressin	50-57-7	antidiürètic		
1771	liraglutida	liraglutida	liraglutide	liraglutide	204656-20-2	hipoglucemiant oral		
1772	lisadimat	lisadimato	lisadimate	lisadimate	136-44-7	protector solar		
1773	lisdexamfetamina	lisdexanfetamina	lisdexamfétamine	lisdexamfetamine	608137-32-2	estimulant central		
1774	lisina	lisina	lysine	lysine	56-87-1	aminoàcid		
1775	lisinopril	lisinopril	lisinopril	lisinopril	76547-98-3	antihipertensor		
1776	lisurida	lisurida	lisuride	lisuride	18016-80-3	antimigranyós	inhibidor de la prolactina	
1777	lixisenatida	lixisenatida	lixisénatide	lixisenatide	320367-13-3	hipoglucemiant		
1778	lobaplatí	lobaplatino	lobaplatine	lobaplatin	135558-11-1	antineoplàstic		
1779	lobelina	lobelina	lobéline	lobeline	90-69-7	analèptic	deshabituador del tabac	
1780	lobenzarit	lobenzarit	lobenzarit	lobenzarit	63329-53-3	immunomodulador		
1781	lobucavir	lobucavir	lobucavir	lobucavir	127759-89-1	antivíric		
1782	lodoxamida	lodoxamida	lodoxamide	lodoxamide	53882-12-5	antial·lèrgic oftàlmic		
1783	lofepramina	lofepramina	lofépramine	lofepramine	23047-25-8	antidepressiu tricíclic		
1784	lofexidina	lofexidina	lofexidine	lofexidine	31036-80-3	antihipertensor	vasodilatador	
1785	loflazepat d'etil	loflazepato de etilo	loflazépate d'éthyle	ethyl loflazepate	29177-84-2	tranquil·litzant		
1786	lomefloxacina	lomefloxacino	loméfloxacine	lomefloxacin	98079-51-7	antibiòtic quinolònic		
1787	lomustina	lomustina	lomustine	lomustine	13010-47-4	antineoplàstic		
1788	lonazolac	lonazolaco	lonazolac	lonazolac	53808-88-1	antiinflamatori		
1789	lonidamina	lonidamina	lonidamine	lonidamine	50264-69-2	espermicida		
1790	loperamida	loperamida	lopéramide	loperamide	53179-11-6	antidiarreic		
1791	lopinavir	lopinavir	lopinavir	lopinavir	192725-17-0	anti-VIH		
1792	loprazolam	loprazolam	loprazolam	loprazolam	61197-73-7	hipnòtic sedant		
1793	loracarbef	loracarbef	loracarbef	loracarbef	76470-66-1	antibiòtic carbacefèmic		
1794	loratadina	loratadina	loratadine	loratadine	79794-75-5	antihistamínic H1		
1795	lorazepam	lorazepam	lorazépam	lorazepam	846-49-1	tranquil·litzant		
1796	lorcaïnida	lorcainida	lorcaïnide	lorcainide	59729-31-6	antiarrítmic		
1797	lormetazepam	lormetazepam	lormétazépam	lormetazepam	848-75-9	hipnòtic sedant		
1798	lornoxicam	lornoxicam	lornoxicam	lornoxicam	70374-39-9	antiinflamatori		
1799	losartan	losartán	losartan	losartan	114798-26-4	antihipertensor		
1800	losigamona	losigamona	losigamone	losigamone	112856-44-7	antiepilèptic		
1801	loteprednol	loteprednol	lotéprednol	loteprednol	129260-79-3	glucocorticoide		
1802	lovastatina	lovastatina	lovastatine	lovastatin	75330-75-5	hipolipemiant		
1803	loxapina	loxapina	loxapine	loxapine	1977-10-2	neurolèptic		
1804	loxiglumida	loxiglumida	loxiglumide	loxiglumide	107097-80-3	antagonista de la colecistocinina		
1805	loxoprofèn	loxoprofeno	loxoprofène	loxoprofen	68767-14-6	analgèsic	antiinflamatori	antipirètic
1806	lubeluzole	lubeluzol	lubéluzole	lubeluzole	144665-07-6	neuroprotector		
1807	lumefantrina	lumefantrina	luméfantrine	lumefantrine	82186-77-4	antiprotozoari		
1808	lumiracoxib	lumiracoxib	lumiracoxib	lumiracoxib	220991-20-8	antiinflamatori		
1809	luprostiol	luprostiol	luprostiol	luprostiol	67110-79-6	oxitòcic	prostaglandina	
1810	luseogliflozina	luseogliflozina	luséogliflozine	luseogliflozin	898537-18-3	antihiperglucèmic		
1811	lutropina alfa	lutropina alfa	lutropine alfa	lutropin alfa	56832-30-5	hormona estimulant de l'ovulació		
1812	macitentan	macitentán	macitentan	macitentan	441798-33-0	antihipertensor		
1813	macrogol	macrogol	macrogol	macrogol	25322-68-3	laxant		
1814	mafenida	mafenida	mafénide	mafenide	138-39-6	antibiòtic sulfonamídic		
1815	mafosfamida	mafosfamida	mafosfamide	mafosfamide	88859-04-5	antineoplàstic		
1816	magaldrat	magaldrato	magaldrate	magaldrate	74978-16-8	antiàcid		
1817	malotilat	malotilato	malotilate	malotilate	59937-28-9	hepatoprotector		
1818	mangafodipir	mangafodipir	mangafodipir	mangafodipir	155319-91-8	agent de diagnòstic		
1819	manidipina	manidipino	manidipine	manidipine	120092-68-4	antihipertensor		
1820	maprotilina	maprotilina	maprotiline	maprotiline	10262-69-8	antidepressiu		
1821	maraviroc	maraviroc	maraviroc	maraviroc	376348-65-1	antiretroviral		
1822	maribavir	maribavir	maribavir	maribavir	176161-24-3	antivíric		
1823	marimastat	marimastat	marimastat	marimastat	154039-60-8	antineoplàstic		
1824	masoprocol	masoprocol	masoprocol	masoprocol	27686-84-6	antineoplàstic		
1825	mavrilimumab	mavrilimumab	mavrilimumab	mavrilimumab	1085337-57-0	immunomodulador		
1826	mazaticol	mazaticol	mazaticol	mazaticol	42024-98-6	antiparkinsonià		
1827	mazindol	mazindol	mazindol	mazindol	22232-71-9	anorèctic		
1828	mazipredona	mazipredona	maziprédone	mazipredone	13085-08-0	glucocorticoide		
1829	mebendazole	mebendazol	mébendazole	mebendazole	31431-39-7	antihelmíntic		
1830	mebeverina	mebeverina	mébévérine	mebeverine	3625-06-7	antiespasmòdic		
1831	mebhidrolina	mebhidrolina	mebhydroline	mebhydrolin	524-81-2	antial·lèrgic	antihistamínic H1	
1832	mebutamat	mebutamato	mébutamate	mebutamate	64-55-1	tranquil·litzant		
1833	mebutat d'ingenol	ingenol mebutato	mébutate d'ingénol	ingenol mebutate	75567-37-2	antineoplàstic		
1834	mebutizida	mebutizida	mébutizide	mebutizide	3568-00-1	diürètic		
1835	mecamilamina	mecamilamina	mécamylamine	mecamylamine	60-40-2	antihipertensor ganglioplègic		
1836	mecasermina	mecasermina	mécasermine	mecasermin	68562-41-4	factor de creixement		
1837	mecil·linam	mecilinam	mécillinam	mecillinam	32887-01-7	antibiòtic penicil·línic		
1838	mecisteïna	mecisteína	mécystéine	mecysteine	2485-62-3	mucolític		
1839	meclociclina	meclociclina	méclocycline	meclocycline	2013-58-3	antibiòtic tetraciclínic		
1840	meclofenoxat	meclofenoxato	méclofénoxate	meclofenoxate	51-68-3	nootròpic		
1841	mecloxamina	mecloxamina	mécloxamine	mecloxamine	5668-06-4	anticolinèrgic		
1842	meclozina	meclozina	méclozine	meclozine	569-65-3	antiemètic	antihistamínic H1	
1843	medazepam	medazepam	médazépam	medazepam	2898-12-6	tranquil·litzant		
1844	medetomidina	medetomidina	médétomidine	medetomidine	86347-14-0	analgèsic	hipnòtic sedant	
1845	medrisona	medrisona	médrysone	medrysone	2668-66-8	glucocorticoide		
1846	medrogestona	medrogestona	médrogestone	medrogestone	977-79-7	progestagen		
1847	medroxiprogesterona	medroxiprogesterona	médroxyprogestérone	medroxyprogesterone	520-85-4	progestagen		
1848	mefenesina	mefenesina	méphénésine	mephenesin	59-47-2	relaxant muscular		
1849	mefenitoïna	mefenitoína	méphénytoïne	mephenytoin	50-12-4	antiepilèptic		
1850	mefenorex	mefenorex	méfénorex	mefenorex	17243-57-1	anorèctic		
1851	mefenoxalona	mefenoxalona	méphénoxalone	mephenoxalone	70-07-5	relaxant muscular		
1852	mefentermina	mefentermina	méphentermine	mephentermine	100-92-5	antihipotensor	simpaticomimètic	
1853	mefloquina	mefloquina	méfloquine	mefloquine	53230-10-7	antipalúdic		
1854	mefrusida	mefrusida	méfruside	mefruside	7195-27-9	diürètic		
1855	megestrol	megestrol	mégestrol	megestrol	3562-63-8	progestagen		
1856	meglumina	meglumina	méglumine	meglumine	6284-40-8	emprat com a element de contrast en radiografia		
1857	meglutol	meglutol	méglutol	meglutol	503-49-1	antihiperlipèmic		
1858	melagatran	melagatrán	mélagatran	melagatran	159776-70-2	anticoagulant		
1859	melarsoprol	melarsoprol	mélarsoprol	melarsoprol	494-79-1	tripanosomicida		
1860	meldoni	meldonio	meldonium	meldonium	76144-81-5	protector cardíac		
1861	melfalan	melfalán	melphalan	melphalan	148-82-3	antineoplàstic		
1862	melitracèn	melitraceno	mélitracène	melitracen	5118-29-6	antidepressiu tricíclic		
1863	meloxicam	meloxicam	méloxicam	meloxicam	71125-38-7	antiinflamatori		
1864	melperona	melperona	melpérone	melperone	3575-80-2	neurolèptic		
1865	memantina	memantina	mémantine	memantine	19982-08-2	antiparkinsonià		
1866	menbutona	menbutona	menbutone	menbutone	3562-99-0	colerètic		
1867	menfegol	menfegol	menfégol	menfegol	57821-32-6	espermicida		
1868	menglitat	menglitato	menglytate	menglytate	579-94-2	anestèsic local		
1869	mepacrina	mepacrina	mépacrine	mepacrine	83-89-6	antipalúdic		
1870	mepartricina	mepartricina	mépartricine	mepartricin	11121-32-7	antifúngic		
1871	mepesuccinat d'omacetaxina	mepesuccinato de omacetaxina	mépésuccinate d'omacétaxine	omacetaxine mepesuccinate	26833-87-4	antineoplàstic		
1872	mepindolol	mepindolol	mépindolol	mepindolol	23694-81-7	blocador d'adrenoreceptors beta		
1873	mepiramina	mepiramina	mépyramine	mepyramine	91-84-9	antial·lèrgic	antihistamínic H1	
1874	mepitiostà	mepitiostano	mépitiostane	mepitiostane	21362-69-6	antiestrogen		
1875	mepivacaïna	mepivacaína	mépivacaïne	mepivacaine	96-88-8	anestèsic local		
1876	mepolizumab	mepolizumab	mépolizumab	mepolizumab	196078-29-2	anticòs monoclonal		
1877	meprednisona	meprednisona	méprednisone	meprednisone	1247-42-3	glucocorticoide		
1878	meprobamat	meprobamato	méprobamate	meprobamate	57-53-4	tranquil·litzant		
1879	meptazinol	meptazinol	meptazinol	meptazinol	54340-58-8	analgèsic		
1880	mequinol	mequinol	méquinol	mequinol	150-76-5	despigmentant		
1881	mequitazina	mequitazina	méquitazine	mequitazine	29216-28-2	antihistamínic H1		
1882	merbromina	merbromina	merbromine	merbromin	129-16-8	antisèptic	desinfectant	
1883	mercaptamina	mercaptamina	mercaptamine	mercaptamine	60-23-1	antídot del paracetamol		
1884	mercaptopurina	mercaptopurina	mercaptopurine	mercaptopurine	50-44-2	antineoplàstic		
1885	mercurobutol	mercurobutol	mercurobutol	mercurobutol	498-73-7	antisèptic	desinfectant	
1886	meropenem	meropenem	méropénem	meropenem	96036-03-2	antibiòtic carbapenèmic		
1887	mesalazina	mesalazina	mésalazine	mesalazine	89-57-6	antiinflamatori intestinal		
1888	mesilat d'amidefrina	mesilato de amidefrina	mésilate d'amidéfrine	amidefrine mesilate	1421-68-7	vasoconstrictor otorrinolaringològic local		
1889	mesna	mesna	mesna	mesna	19767-45-4	mucolític		
1890	mesocarb	mesocarbo	mésocarb	mesocarb	34262-84-5	psicoestimulant		
1891	mesoridazina	mesoridazina	mésoridazine	mesoridazine	5588-33-0	neurolèptic		
1892	mesterolona	mesterolona	mestérolone	mesterolone	1424-00-6	androgen		
1893	mestranol	mestranol	mestranol	mestranol	72-33-3	estrogen		
1894	mesuximida	mesuximida	mésuximide	mesuximide	77-41-8	antiepilèptic		
1895	metabromsalan	metabromsalán	métabromsalan	metabromsalan	2577-72-2	antisèptic	desinfectant	
1896	metacolina	metacolina	méthacholine	methacholine	55-92-5	agent de diagnòstic		
1897	metadona	metadona	méthadone	methadone	76-99-3	analgèsic opiaci		
1898	metal·libura	metalibura	métallibure	metallibure	926-93-2	antigonadotròpic		
1899	metamfepramona	metamfepramona	métamfépramone	metamfepramone	15351-09-4	anorèctic		
1900	metamfetamina	metanfetamina	métamfétamine	metamfetamine	537-46-2	antihipotensor	simpaticomimètic	
1901	metamizole de sodi	metamizol de sodio	métamizole sodique	metamizole sodium	68-89-3	analgèsic	antiinflamatori	antipirètic
1902	metampicil·lina	metampicilina	métampicilline	metampicillin	6489-97-0	antibiòtic penicil·línic		
1903	metaniazida	metaniazida	méthaniazide	methaniazide	13447-95-5	antituberculós		
1904	metaqualona	metacualona	méthaqualone	methaqualone	72-44-6	hipnòtic sedant		
1905	metaraminol	metaraminol	métaraminol	metaraminol	54-49-9	antihipotensor		
1906	metaxalona	metaxalona	métaxalone	metaxalone	1665-48-1	relaxant muscular		
1907	metazolamida	metazolamida	méthazolamide	methazolamide	554-57-4	diürètic inhibidor de l'anhidrasa carbònica		
1908	metdilazina	metodilazina	methdilazine	methdilazine	1982-37-2	antial·lèrgic	antihistamínic H1	
1909	metenamina	metenamina	méthénamine	methenamine	100-97-0	antisèptic urinari		
1910	meteneprost	meteneprost	méténéprost	meteneprost	61263-35-2	estimulant uterí		
1911	metenolona	metenolona	méténolone	metenolone	153-00-4	anabolitzant		
1912	metergolina	metergolina	métergoline	metergoline	17692-51-2	antagonista de la serotonina	vasodilatador	
1913	metesculetol	metesculetol	métesculétol	metesculetol	52814-39-8	vasoprotector		
1914	metformina	metformina	metformine	metformin	657-24-9	hipoglucemiant oral		
1915	meticil·lina	meticilina	méticilline	meticillin	61-32-5	antibiòtic penicil·línic		
1916	meticlotiazida	meticlotiazida	méthyclothiazide	methyclothiazide	135-07-9	diürètic		
1917	meticrà	meticrano	méticrane	meticrane	1084-65-7	diürètic		
1918	metilcel·lulosa	metilcelulosa	méthylcellulose	methylcellulose	9004-67-5	laxant		
1919	metildigoxina	metildigoxina	métildigoxine	metildigoxin	30685-43-9	glucòsid cardiotònic		
1920	metildopa	metildopa	méthyldopa	methyldopa	555-30-6	antihipertensor		
1921	metilergometrina	metilergometrina	méthylergométrine	methylergometrine	113-42-8	oxitòcic		
1922	metilfenidat	metilfenidato	méthylphénidate	methylphenidate	113-45-1	psicoestimulant		
1923	metilfenobarbital	metilfenobarbital	méthylphénobarbital	methylphenobarbital	115-38-8	antiepilèptic		
1924	metilpentinol	metilpentinol	méthylpentynol	methylpentynol	77-75-8	hipnòtic sedant		
1925	metilprednisolona	metilprednisolona	méthylprednisolone	methylprednisolone	83-43-2	glucocorticoide		
1926	metilsulfat d'amezini	metilsulfato de amezinio	métilsulfate d'amézinium	amezinium metilsulfate	30578-37-1	antihipotensor		
1927	metilsulfat de toloconi	metilsulfato de toloconio	métilsulfate de toloconium	toloconium metilsulfate	552-92-1	antisèptic	desinfectant	
1928	metiltestosterona	metiltestosterona	méthyltestostérone	methyltestosterone	58-18-4	androgen		
1929	metiltiuracil	metiltiouracilo	méthylthiouracile	methylthiouracil	56-04-2	antitiroidal		
1930	metiodur de buzepida	metioduro de buzepida	métiodure de buzépide	buzepide metiodide	15351-05-0	anticolinèrgic		
1931	metionina	metionina	méthionine	methionine	63-68-3	acidificant urinari	aminoàcid	antídot del paracetamol
1932	metipranolol	metipranolol	métipranolol	metipranolol	22664-55-7	blocador d'adrenoreceptors beta	emprat en el tractament del glaucoma	
1933	metirapona	metirapona	métyrapone	metyrapone	54-36-4	agent de diagnòstic de la funció pituïtària		
1934	metirosina	metirosina	métirosine	metirosine	672-87-7	agent cardiovascular		
1935	metisergida	metisergida	méthysergide	methysergide	361-37-5	antagonista de la serotonina	antimigranyós	
1936	metixè	metixeno	métixène	metixene	4969-02-2	antiparkinsonià		
1937	metizolina	metizolina	métizoline	metizoline	17692-22-7	vasoconstrictor		
1938	metocalcona	metocalcona	métochalcone	metochalcone	18493-30-6	colerètic		
1939	metocarbamol	metocarbamol	méthocarbamol	methocarbamol	532-03-6	relaxant muscular		
1940	metoclopramida	metoclopramida	métoclopramide	metoclopramide	364-62-5	antiemètic		
1941	metohexital	metohexital	méthohexital	methohexital	151-83-7	anestèsic intravenós		
1942	metolazona	metolazona	métolazone	metolazone	17560-51-9	diürètic		
1943	metopimazina	metopimazina	métopimazine	metopimazine	14008-44-7	antiemètic		
1944	metoprè	metopreno	méthoprène	methoprene	40596-69-8	pediculicida		
1945	metoprolol	metoprolol	métoprolol	metoprolol	37350-58-6	blocador d'adrenoreceptors beta		
1946	metotrexat	metotrexato	méthotrexate	methotrexate	59-05-2	antineoplàstic		
1947	metoxamina	metoxamina	méthoxamine	methoxamine	390-28-3	antihipotensor		
1948	metoxifenamina	metoxifenamina	méthoxyphénamine	methoxyphenamine	93-30-1	broncodilatador		
1949	metoxiflurà	metoxiflurano	méthoxyflurane	methoxyflurane	76-38-0	anestèsic inhalatori		
1950	metreleptina	metreleptina	métréleptine	metreleptin	186018-45-1	antihiperlipèmic		
1951	metrizamida	metrizamida	métrizamide	metrizamide	31112-62-6	emprat com a element de contrast en angiografia	emprat com a element de contrast en urografia	
1952	metrizoat de sodi	metrizoato de sodio	métrizoate de sodium	sodium metrizoate	7225-61-8	emprat com a element de contrast		
1953	metronidazole	metronidazol	métronidazole	metronidazole	443-48-1	tricomonicida		
1954	mevastatina	mevastatina	mévastatine	mevastatin	73573-88-3	hipolipemiant		
1955	mexazolam	mexazolam	mexazolam	mexazolam	31868-18-5	tranquil·litzant		
1956	mexenona	mexenona	mexénone	mexenone	1641-17-4	protector solar		
1957	mexiletina	mexiletina	mexilétine	mexiletine	31828-71-4	antiarrítmic		
1958	mezlocil·lina	mezlocilina	mezlocilline	mezlocillin	51481-65-3	antibiòtic penicil·línic		
1959	mianserina	mianserina	miansérine	mianserin	24219-97-4	antidepressiu		
1960	mibefradil	mibefradil	mibéfradil	mibefradil	116644-53-2	antagonista del calci		
1961	micafungina	micafungina	micafungine	micafungin	235114-32-6	antifúngic		
1962	miconazole	miconazol	miconazole	miconazole	22916-47-8	antifúngic		
1963	midaglizole	midaglizol	midaglizole	midaglizole	66529-17-7	antidiabètic	broncodilatador	
1964	midazolam	midazolam	midazolam	midazolam	59467-70-8	hipnòtic sedant		
1965	midecamicina	midecamicina	midécamycine	midecamycin	35457-80-8	antibiòtic macròlid		
1966	midodrina	midodrina	midodrine	midodrine	42794-76-3	simpaticomimètic		
1967	midostaurina	midostaurina	midostaurine	midostaurin	120685-11-2	inhibidor de la tirosina-cinasa		
1968	mifamurtida	mifamurtida	mifamurtide	mifamurtide	83461-56-7	antineoplàstic		
1969	mifepristona	mifepristona	mifépristone	mifepristone	84371-65-3	antiprogestagen		
1970	miglitol	miglitol	miglitol	miglitol	72432-03-2	hipoglucemiant oral		
